feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F049,16745,0.5957945881334935,0.5378263963338176,0.8466666666666667,0.8
F050,2995,0.1685516748423802,0.008282090893635517,0.5399999999999999,0.54
F051,1211,0.8571699967558178,0.865196193819865,0.8133333333333332,1.0
F052,21741,0.5865711863558173,0.6639866611371339,0.8466666666666667,0.8200000000000001
F053,15396,0.8171233652418531,0.892974861692222,0.9666666666666667,0.86
F054,16256,0.5823924329963369,0.6746893299451989,0.8200000000000001,0.84
F055,15075,0.6004721476333973,0.5561462991034569,0.72,1.0
F056,26869,0.5935349414956731,0.5879087926498007,0.9666666666666667,0.68
F057,9959,0.6778302010921357,0.6238564296117708,1.0,0.72
F058,664,0.7761157295400685,0.7665196482942067,0.9199999999999999,0.9400000000000001
F059,13430,0.8415154037136138,0.8904709272224051,0.9466666666666667,1.0
F060,23183,0.9609973441828747,0.935439156696605,1.0,1.0
F061,24744,0.8952397192571996,0.8872483516150887,0.8999999999999999,1.0
F062,11660,0.6920043446937114,0.7349616941802918,0.9199999999999999,0.8
F063,26485,0.7010451401041891,0.609043430412212,0.8400000000000001,0.92
F064,18310,0.7275518035303147,0.7574953492498743,0.86,0.96
F065,24761,0.8599316804206231,0.8251802660901248,1.0,1.0
F066,27061,0.7272591729099258,0.7041903795411949,0.9733333333333334,0.74
F067,10916,0.7980641503303868,0.7648643369429557,1.0,0.92
F068,21125,0.32656806468753624,0.2939728517336207,0.7533333333333334,0.56
F069,3459,0.8038505206291435,0.8038469225569829,0.9866666666666667,0.92
F070,18730,0.9355964606706179,0.7401530574589614,0.9,1.0
F071,21203,0.7393950839721226,0.6739897261828613,0.7933333333333333,1.0
F072,32508,0.46668005873378277,0.4604580805823276,0.7466666666666667,0.72
F073,19840,0.7738060676328359,0.712094766629221,1.0,0.76
F074,14833,0.9151957159083414,0.8680241062637222,1.0,1.0
F075,12544,0.49557461938707925,0.4677247169025481,0.82,0.76
F076,26144,0.8593552169866951,0.8538917745142772,0.9,1.0
F077,29590,0.8177517779156054,0.835955832487923,0.9466666666666667,1.0
F078,19038,0.8631343807806486,0.8058387974868625,0.9733333333333334,1.0
F079,3887,0.38136276928194535,0.4585161630928001,0.7866666666666667,0.48
F080,6129,0.9198959901741074,0.9272664331426083,0.9800000000000001,1.0
F081,12337,0.5670539705527783,0.595945672315679,0.74,0.9
F082,12340,0.7708875026374755,0.9120081275032728,0.8600000000000001,1.0
F083,18990,0.8073403933227482,0.8527458816067844,0.9066666666666667,1.0
F084,8191,0.791045297476381,0.723184873517011,0.8999999999999999,0.84
F085,25210,0.4691567848743146,0.42687050717256103,0.9733333333333334,0.30000000000000004
F086,14247,0.796662227052414,0.8668077129395959,0.8266666666666667,1.0
F087,13311,0.9134525383241112,0.8860970010541049,1.0,1.0
F088,19470,0.5500769675524773,0.5236544446658418,0.7600000000000001,0.88
F089,3156,0.7376196485436166,0.7489950464740133,0.92,0.88
F090,21190,0.7399465884202603,0.665795943067297,0.8066666666666666,0.96
F091,24074,0.2920045510709435,0.3792704487137256,0.6933333333333332,0.5800000000000001
F092,7350,0.7305206371920533,0.7494675948149959,0.8133333333333335,1.0
F093,28066,0.7960573718877869,0.7332454400418393,0.8999999999999999,0.92
F094,23594,0.5662379119151564,0.7916794184115606,0.8800000000000001,0.5599999999999999
F095,28770,0.6852470539284141,0.6943718081490987,0.8933333333333334,0.8200000000000001
F096,5260,0.11729791953465665,-0.3592843929809922,0.2666666666666666,1.0
F097,6885,0.5834252448896443,0.66254993271535,0.9066666666666667,0.56
F098,17345,0.5653172008669146,0.6461842548395516,1.0,0.52
F099,21935,0.6926613601803125,0.7286113383283804,0.7933333333333333,0.9600000000000001
F100,14014,0.7032405956535471,0.8590462401911235,0.84,1.0
F101,20869,0.7260867130659334,0.7210850344761187,0.8933333333333334,0.9400000000000001
F102,18646,0.5759959904296807,0.5774023237592391,0.8066666666666666,0.78
F103,4998,0.5070314251379354,0.3771041290513842,0.94,0.52
F104,22358,0.2396738874889444,-0.07965828591823298,0.38,0.92
F105,12555,0.6954095106677463,0.8237907280342296,0.9533333333333334,0.66
F106,8969,0.7414880725665682,0.7185435452689001,0.8533333333333334,0.8
F107,20463,0.7727106131393983,0.9370896721567922,0.8666666666666667,1.0
F108,9827,0.32688912526353997,0.1906947084303331,0.7933333333333333,0.52
F109,16969,0.8688832677556947,0.8139959872775908,1.0,1.0
F110,736,0.28083500959130747,0.3063372754031072,0.5466666666666666,0.72
F111,8089,0.24611819651363873,0.20634831569894196,0.6133333333333333,0.56
F112,24943,0.6866985187900997,0.6571919416031121,0.8866666666666667,0.74
F113,27857,0.8469995698401693,0.9623734314244987,0.8666666666666667,1.0
F114,7037,0.8008435827912666,0.8302483307685298,1.0,0.88
F115,17507,0.252564975341881,0.27958117014987866,0.7666666666666666,0.44
F116,28816,0.30220624293682147,0.010596620336002813,0.8733333333333333,0.30000000000000004
F117,2504,0.33552833435251805,0.2308694399636195,0.8533333333333333,0.52
F118,14003,0.4725189017306628,0.5590229485696843,0.7333333333333333,0.86
F119,12902,0.7493313500825762,0.6976242400088251,1.0,0.68
F120,12887,0.5340003100560724,0.6016093073346427,0.78,0.92
F121,5178,0.726969031969008,0.6016331842760689,1.0,0.86
F122,6639,0.7302255022987266,0.7931903993888696,1.0,0.68
F123,21296,0.5513829622128198,0.8590724851538861,1.0,0.5599999999999999
F124,2550,0.8621717075692948,0.679538267697785,0.9666666666666667,0.88
F125,12676,0.6637863689971499,0.5040223016338,0.8933333333333334,0.5
F126,18714,0.8131195677233433,0.6636214351714695,1.0,0.92
F127,31422,0.389975961492201,0.22517682220420007,0.7466666666666666,0.5800000000000001
F128,32565,0.8143194847200249,0.6952224402308164,1.0,0.96
F129,2416,0.8951693630226644,0.5994087821957252,1.0,0.86
F130,29947,0.7883366276754219,0.8723579474969567,0.8666666666666667,0.9
F131,19364,0.7766313205483458,0.7948124451913239,0.92,0.8600000000000001
F132,29247,0.7185949359254697,0.802946721671357,1.0,0.84
F133,29931,0.7147827343054254,0.7009853450079183,0.96,0.8200000000000001
F134,16345,0.6674424294108879,0.6831322820561115,0.9266666666666667,0.76
F135,8294,0.5525411179089266,0.5838592625922763,1.0,0.5
F136,26879,0.5843273841713598,0.5494584992296628,0.8333333333333334,0.8
