feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F079,3887,0.45862878039726185,0.5072104853712671,0.8533333333333333,0.52
F080,6129,0.9445547648554565,0.9591917973262143,0.9333333333333333,1.0
F081,12337,0.5530941262535759,0.6467413904915493,0.7333333333333333,0.9
F082,12340,0.7678992473670878,0.9150397313562942,0.8600000000000001,1.0
F083,18990,0.7661932110312922,0.8087641520893497,0.8933333333333333,0.92
F084,8191,0.7781664078153511,0.7280031907508199,0.8866666666666667,0.78
F085,25210,0.5348337439903226,0.46981486933247907,0.9866666666666667,0.32
F086,14247,0.7429117182606673,0.8467022047515533,0.8,1.0
F087,13311,0.8625954198473282,0.8633646394350135,1.0,1.0
F088,19470,0.5667666514545013,0.586237753655205,0.7600000000000001,0.92
F089,3156,0.7324031209454216,0.726580309913224,0.9466666666666667,0.88
F090,21190,0.7373479661586914,0.6801035748786797,0.8333333333333333,0.8999999999999999
F091,24074,0.3866359317337529,0.4293376373878721,0.78,0.66
F092,7350,0.7529747328136532,0.7887504581599758,0.7866666666666667,1.0
F093,28066,0.7923373973774648,0.7443744587250569,0.8933333333333333,0.92
F094,23594,0.5640570064820458,0.787226662193261,0.8400000000000001,0.58
F095,28770,0.6100664347422452,0.6931141094295474,0.8400000000000001,0.8400000000000001
F096,5260,0.23815032147945445,-0.14748429005331276,0.3933333333333333,0.92
F097,6885,0.5299807255448034,0.6187189956832173,0.8799999999999999,0.48
F098,17345,0.5619337171888733,0.6394702085120413,0.9666666666666667,0.6
F099,21935,0.6669428092507562,0.718702055131408,0.78,0.88
F100,14014,0.7213986567907026,0.7608764696154633,0.8800000000000001,1.0
F101,20869,0.7116977522566185,0.7238780178437897,0.8600000000000001,0.9400000000000001
F102,18646,0.5866044009628674,0.5392717552127471,0.8266666666666667,0.8
F103,4998,0.4703471013268303,0.3205951288373142,1.0,0.44
F104,22358,0.20860479794619066,-0.06708598108239598,0.3933333333333333,0.92
F105,12555,0.6500491904206357,0.8639530769604942,0.9533333333333334,0.64
F106,8969,0.7081708672652854,0.7519407173741438,0.8200000000000001,0.8
F107,20463,0.8877460412163242,0.9378950039983504,0.9333333333333333,1.0
F108,9827,0.2416550122303961,0.22970965932716944,0.6933333333333332,0.52
F109,16969,0.8650614148937441,0.8188831953792678,0.9400000000000001,1.0
F110,736,0.48032329321466766,0.42653427898262597,0.6466666666666666,0.8200000000000001
F111,8089,0.20046534727777804,0.18224057227618118,0.64,0.48
F112,24943,0.6327017095382544,0.6530910650763975,0.8533333333333335,0.74
F113,27857,0.860078840460985,0.9531036422070635,0.9,1.0
F114,7037,0.820336391437309,0.8473801616466476,1.0,0.98
F115,17507,0.25579162086645363,0.29987259734778815,0.78,0.4
F116,28816,0.4622426974019531,0.039129169806162774,0.98,0.32
