representation,top_n,label,n_observations,n_features_mean,auc_mean,auc_std,auc_se,average_precision_mean,average_precision_std,average_precision_se,f1_mean,f1_std,f1_se,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_se
Hidden State,-1,QUO,5,4096.0,0.9458424528197528,0.011897920568276977,0.005320911836312049,0.8922875324893971,0.016398004644284463,0.007333410615995463,0.8061378061207224,0.015124699934999278,0.0067639714387890066,0.8893429690809803,0.013662575527602415,0.00611008952548881
Hidden State,-1,REC,5,4096.0,0.8896589995724324,0.013153288359518529,0.005882329379908025,0.6798808174984137,0.025562149609970025,0.011431740835782541,0.6344398213378513,0.031075493588152703,0.013897383219493659,0.8041356552529993,0.028862714708318343,0.012907798420596564
Hidden State,-1,RES,5,4096.0,0.7910699781838891,0.032836433554252184,0.014684899513192582,0.37371884781903475,0.06694508502285923,0.02993875217412326,0.40243324725830404,0.050867305649037735,0.022748550652701486,0.6929779722768319,0.030220785366367582,0.01351514608252576
Hidden State,-1,SU,5,4096.0,0.8936873508281655,0.04522857788427048,0.020226834934974482,0.5785112316449832,0.06750608874311942,0.030189640664949672,0.5698281517530591,0.07656849076069627,0.034242470055096286,0.7661950291957134,0.0469261586038191,0.020986016112215226
PCA-n,10,AF,5,10.0,0.8800512429058737,0.011390260490981312,0.005093879347852869,0.3191380621620365,0.028732609601292525,0.012849613647890643,0.2899824268512375,0.01842310234252093,0.008239061838862482,0.8025272291029049,0.01922963069228878,0.00859975228203481
PCA-n,10,GI,5,10.0,0.8414907491128527,0.008987191899300567,0.004019194402734302,0.4195076385385116,0.012113166125419055,0.00541717257583695,0.41454712824402334,0.014664386986628869,0.0065581132300930895,0.7604421230339841,0.017209160535951912,0.0076961705588190375
PCA-n,10,QUC,5,10.0,0.8072586480998056,0.016143468091086244,0.007219578408853521,0.42307852569657606,0.06218084884275395,0.02780812098220739,0.44065988775474374,0.034028747118218634,0.015218118349097387,0.7407304598399598,0.024834245941968782,0.011106212419238098
PCA-n,10,QUO,5,10.0,0.9370574954933014,0.0036682377537227986,0.0016404857949910618,0.8186613376157252,0.020940428793460093,0.009364844452034135,0.7393604885948962,0.011780785390674276,0.00526852739237682,0.860050944963282,0.009431920814659406,0.004218083219994725
PCA-n,10,REC,5,10.0,0.8926543820104789,0.007122181379208272,0.0031851363423985807,0.6202590318439654,0.02065274209169813,0.009236187047761642,0.5710795311739711,0.017095014407878393,0.00764512285847088,0.8097216195046555,0.0089889793728105,0.0040199937851895405
PCA-n,10,RES,5,10.0,0.8462812775203334,0.022295109775745673,0.009970676204877483,0.34713656986872127,0.02658748003745055,0.011890282542831617,0.34286164838669314,0.03066725370915522,0.013714812795380726,0.7617130842912783,0.03609220517422579,0.0161409248454877
PCA-n,10,SU,5,10.0,0.9010036808299177,0.01746991404852942,0.007812783074718069,0.22918856142982796,0.03745134779270351,0.01674875190269435,0.21354540725789772,0.01661598808697332,0.007430895775159805,0.8253264014859756,0.033059976210366916,0.014784870828181262
PCA-n,20,AF,5,20.0,0.9247452403994612,0.01746081587905293,0.007808714249634019,0.5269424042688942,0.0402187822088585,0.01798638619825335,0.37360618421409686,0.0112768423671164,0.0050431572208843815,0.8397383551561702,0.03530960192301469,0.015790934031663626
PCA-n,20,GI,5,20.0,0.865233225293015,0.009477173263882518,0.004238320730516973,0.4687162917623199,0.023741921329012018,0.010617710001624604,0.44952798524698345,0.017433178890980856,0.007796354612829517,0.7843922487636965,0.008373691570318613,0.0037448287147698756
PCA-n,20,QUC,5,20.0,0.8919471874542426,0.019656495122803177,0.008790651858796196,0.6489132790970672,0.062277375098043875,0.027851288835895747,0.573684733624757,0.025111854767342165,0.01123036286017585,0.815816224883817,0.00966105171193831,0.004320553672406956
PCA-n,20,QUO,5,20.0,0.9456497409818944,0.0020354488264617415,0.0009102803881381253,0.8435117580056634,0.011233681653612522,0.005023855163013969,0.7621990377924208,0.012123913187042222,0.005421978807906506,0.8724440379876774,0.009018290715576409,0.0040331022161768145
PCA-n,20,REC,5,20.0,0.9136682632923231,0.0034260623196619047,0.0015321816483829266,0.6875011017141512,0.009566952815551153,0.004278471366621077,0.6149747322652651,0.01643798377088442,0.007351289824947177,0.8375791697741214,0.009384381960915785,0.004196823198286094
PCA-n,20,RES,5,20.0,0.8529532617334381,0.01695828759358967,0.007583976768251565,0.3497363708399442,0.01721464904809417,0.007698625096068122,0.3505179144796854,0.02785838915282735,0.012458650377872945,0.7675287578190335,0.03311066561918048,0.014807539820950543
PCA-n,20,SU,5,20.0,0.9051276112901323,0.012356106825274533,0.005525818959712594,0.23990989671041038,0.05347915893909756,0.023916606953467538,0.22106912448599783,0.028085056912120997,0.012560019281490576,0.8210373966888442,0.03660504690006212,0.01637027463762137
PCA-n,50,AF,5,50.0,0.9447289865009886,0.008100717714178116,0.0036227510950877957,0.607452944002343,0.04324725636950026,0.019340761016512668,0.47800823322748726,0.04065728593515577,0.01818249102633088,0.8722574813045763,0.030276546263371038,0.013540083113762978
PCA-n,50,GI,5,50.0,0.8907996383042468,0.009507646798690341,0.004251948909585972,0.5418998563180499,0.03315228359082689,0.01482615194368795,0.49757316932325624,0.01742710179635746,0.007793636853492795,0.809598431098874,0.01987835220214841,0.008889869360937297
PCA-n,50,QUC,5,50.0,0.9114650000936827,0.01841895486375597,0.008237207029971745,0.6953855316945741,0.06263666142498157,0.028011966565979526,0.6118025463286006,0.025802089156585273,0.011539045063126977,0.8316462062260843,0.017245207794352752,0.007712291382856393
PCA-n,50,QUO,5,50.0,0.9566694567460651,0.0021025581166344946,0.0009402925750877322,0.8850975688480114,0.006393375122751269,0.0028592042760255797,0.7868771934943833,0.009409575176564496,0.00420808994683856,0.8874214341934529,0.007451351605978605,0.0033323457430440777
PCA-n,50,REC,5,50.0,0.9301471493368408,0.0037166731986034447,0.0016621467844457757,0.7424146313461217,0.012361194744359422,0.00552809434630016,0.6499545034811532,0.02281508471337991,0.010203216066306756,0.8530400836207683,0.0069658472526938214,0.0031152215955807076
PCA-n,50,RES,5,50.0,0.8677990787265066,0.018273143201910376,0.008171998072411953,0.3659453150352304,0.04273843061125164,0.01911320721968331,0.3805593012658807,0.016563807216250247,0.007407559780347421,0.7864732370606452,0.02165995370540022,0.009686625774954669
PCA-n,50,SU,5,50.0,0.9165776127303943,0.015738272185914937,0.007038369291220001,0.33365041233647774,0.05330222437191714,0.02383747940951055,0.27490526436818213,0.01444253559290098,0.0064588982706373635,0.826847421008938,0.02777260240619257,0.012420285378464162
PCA-n,100,AF,5,100.0,0.9485786228990081,0.008457453539775237,0.00378228820629673,0.6955946786508153,0.03747948406481979,0.016761334826111435,0.5362446738281553,0.0114223480105644,0.005108229322856297,0.868874187468459,0.014689068470736427,0.006569151125343106
PCA-n,100,GI,5,100.0,0.9051626975845328,0.006868173414143555,0.003071540527056361,0.5966196311384933,0.03371685403240037,0.015078635520777026,0.5193659193767771,0.02357302975244533,0.01054217939241856,0.8151069796205309,0.006342832960149526,0.002836601133764111
PCA-n,100,QUC,5,100.0,0.9093747385042713,0.020001983422061703,0.008945158923310766,0.6901260915758222,0.06176891480035953,0.02762389847799935,0.6205635452525432,0.031104099027976655,0.013910175961088187,0.8346305173867196,0.022521734244567375,0.010072025748407504
PCA-n,100,QUO,5,100.0,0.9613283752626727,0.003442603325745794,0.0015395790111868894,0.8984722980597766,0.007452044091684717,0.0033326554320665404,0.8046028914689003,0.007764023362341596,0.0034721768034184576,0.8964579231590308,0.008536268157824082,0.0038175351750123097
PCA-n,100,REC,5,100.0,0.9355800042869218,0.0050279588896495276,0.0022485715730661414,0.7557664249882035,0.019601946001817857,0.008766256750268988,0.6677092730368356,0.02444820863342956,0.010933571286489146,0.8624387567910837,0.014675702153290887,0.006563173526459692
PCA-n,100,RES,5,100.0,0.8723869096510221,0.024790638350104224,0.011086710511289254,0.41202475731988286,0.05628784309594038,0.02517268869387298,0.40231926774916377,0.03230615236747624,0.014447750557028528,0.7927310936342615,0.0394011466878266,0.01762072847708419
PCA-n,100,SU,5,100.0,0.9125495074838057,0.027291723052447207,0.012205229593674002,0.43603269428288466,0.11140704156253207,0.04982274362119322,0.3214390867169608,0.05539157846612509,0.024771866966253844,0.7928382883796982,0.06102216547560897,0.02728994202754049
PCA-n,200,AF,5,200.0,0.9563498090119191,0.005707250651588053,0.002552360084316171,0.7338662088904812,0.02666269688468935,0.011923920539527452,0.6521088251837899,0.03018025459174608,0.01349702016907888,0.8802469812604692,0.01595044555030687,0.00713325610437904
PCA-n,200,GI,5,200.0,0.9005478911387375,0.012730760407022302,0.005693369135072951,0.5870932403272863,0.04528660227801193,0.0202527842327263,0.534765472754952,0.024031719147678814,0.010747311526078626,0.8106509828481714,0.014018227605919146,0.0062691419701798685
PCA-n,200,QUC,5,200.0,0.9150788166480668,0.017220170893645227,0.007701094540470806,0.6927730389018794,0.06258996630285855,0.027991083872522582,0.6434123595291039,0.028632528798004018,0.012804856152011466,0.8421582645337047,0.019147143928884246,0.008562863079991514
PCA-n,200,QUO,5,200.0,0.9618722648318954,0.0025094055269078643,0.0011222402682559323,0.9005629871262671,0.009091440543516988,0.004065815813740324,0.8125863886463838,0.007223476472389367,0.0032304368852266014,0.8965632288228262,0.007747614202632882,0.0034648384041059905
PCA-n,200,REC,5,200.0,0.9372509952094834,0.006182115938130141,0.0027647262964887757,0.7636725807933077,0.009988344951423698,0.004466923658820045,0.683916110370417,0.03091226408851504,0.013824384768069041,0.8595087823498082,0.016889696789803534,0.007553302028272136
PCA-n,200,RES,5,200.0,0.8637434059623541,0.028711987468379583,0.012840391149683767,0.40653965669068104,0.06597302158377298,0.029504032188475443,0.3963715071718729,0.03634820393531832,0.016255410971879426,0.7615294949866943,0.044238200279879965,0.019783924605612364
PCA-n,200,SU,5,200.0,0.9053498956311371,0.04971577727059941,0.022233571506259844,0.5022529314438118,0.10752179992828924,0.04808521074055735,0.4611342593156171,0.05416569329115956,0.024223634449487417,0.7963535132328969,0.05294668953310707,0.023678479395920802
Random SAE-n,10,AF,100,10.0,0.5774915878300113,0.06989181021656293,0.006989181021656294,0.09773499194417884,0.07774565535293929,0.007774565535293929,0.13688293915026958,0.06790276853349293,0.006790276853349294,0.5619366023381681,0.0644380529747982,0.00644380529747982
