label,fold,fold_status,candidate_pool_size,n_train,n_val,val_prevalence,full_auc,full_average_precision,full_balanced_accuracy,full_f1,full_precision_lift_at_50,selected_k,selected_latents,selected_auc,selected_average_precision,selected_precision_lift_at_50
QUO,2,minimal_sufficient_found,200,4014,1004,0.22609561752988047,0.9540194694379717,0.8642428711546446,0.8910783029725762,0.8,0.7539043824701195,11,"664,26485,18310,22553,14247,21190,6129,15539,14833,1779,4561",0.9432018550961282,0.834279634911184,0.7139043824701194
QUO,3,minimal_sufficient_found,200,4014,1004,0.22609561752988047,0.9490812398301385,0.8592077503998101,0.8853860153419625,0.7919191919191919,0.7339043824701195,14,"13430,664,18310,28066,15679,14833,8890,29759,11071,22553,21190,19840,15539,31049",0.9515361806110705,0.8437964599070046,0.6939043824701195
QUO,4,minimal_sufficient_found,200,4015,1003,0.226321036889332,0.9471990099459557,0.8680451083998822,0.876680366955811,0.7738095238095238,0.753678963110668,9,"13430,664,14247,18310,8890,19840,15679,3284,21190",0.9535401244379854,0.8463373040281545,0.7336789631106679
QUO,5,minimal_sufficient_found,200,4015,1003,0.22532402791625125,0.9537875422831175,0.8870024431458761,0.8805793783669891,0.78,0.7546759720837487,9,"13430,664,18310,14247,8890,19840,1779,15976,21190",0.9592202822291318,0.8624098220384052,0.7146759720837487
QUC,1,minimal_sufficient_found,200,4014,1004,0.13645418326693226,0.9012704265905589,0.6785368806020793,0.8412934946413086,0.6337209302325582,0.7435458167330677,75,"13430,22358,29247,21935,8283,5413,9959,26512,2386,29947,6100,26485,4998,1622,18885,19924,20402,9216,24984,2903,8226,6620,20549,13753,10916,12887,2836,17202,32764,10890,17727,21006,9908,22623,3348,19403,14003,32463,5308,6022,19321,15185,15988,15848,27061,27690,28816,17507,8861,28259,20190,22285,736,111,20283,18205,19218,52,8866,24249,11940,10733,14014,22662,16813,30700,30071,1943,25227,8089,2416,5272,21221,29194,2550",0.9558844576903325,0.75245688430221,0.7035458167330677
QUC,2,minimal_sufficient_found,200,4014,1004,0.13745019920318724,0.8899822606018007,0.6541043700629049,0.8299444388660173,0.6202898550724638,0.6425498007968128,13,"13430,21935,22358,21296,9959,8226,12340,2150,15068,20463,1622,29947,4998",0.9170264752150483,0.649527711284392,0.6225498007968128
QUC,3,minimal_sufficient_found,200,4014,1004,0.13745019920318724,0.9406901630016401,0.710605319678609,0.8788784014459283,0.7027027027027027,0.6625498007968128,22,"13430,22358,21935,29947,31363,9959,12902,5413,4386,6100,20283,2903,10916,24984,20402,11493,8226,6620,24943,18646,9216,14014",0.9407738394082404,0.6872060244606738,0.6425498007968128
QUC,4,minimal_sufficient_found,200,4015,1003,0.1365902293120638,0.9251276950826858,0.7301217312297205,0.8627551794474132,0.6726190476190477,0.7034097706879362,10,"13430,21935,22358,32565,5413,29947,664,18646,26485,2386",0.9294347701488511,0.7191650901935176,0.6634097706879363
QUC,5,minimal_sufficient_found,200,4015,1003,0.1365902293120638,0.8961076178756259,0.6306252401128493,0.8439085652635661,0.6271186440677966,0.6634097706879363,8,"13430,21935,6639,22358,5413,20402,9959,29947",0.8951888875777549,0.6031325647935403,0.6234097706879362
GI,1,minimal_sufficient_found,200,4014,1004,0.1205179282868526,0.8694533099969114,0.5802061845491517,0.7845296369439271,0.49859943977591037,0.6194820717131474,16,"13430,9893,16345,16515,1061,15285,25473,26879,18490,9728,18491,28713,30153,27648,664,16131",0.899946650693073,0.5708516629935112,0.5994820717131474
GI,2,minimal_sufficient_found,200,4014,1004,0.1205179282868526,0.8652696011905319,0.5411346915688724,0.7775661484608257,0.48753462603878117,0.5994820717131474,9,"13430,19770,2055,11873,32490,7907,18490,31844,8166",0.8554701758655223,0.5157620525389,0.6194820717131474
GI,3,minimal_sufficient_found,200,4014,1004,0.1205179282868526,0.8769596510768136,0.5773699805081975,0.8033235682262759,0.5210084033613446,0.6594820717131474,13,"13430,9893,12231,664,3960,29249,8166,9728,16515,26879,19845,15524,12351",0.902164858717932,0.5748945565584576,0.6194820717131474
GI,4,minimal_sufficient_found,200,4015,1003,0.11964107676969092,0.8518120045300114,0.5145128895847729,0.762797281993205,0.4692737430167598,0.48035892323030904,16,"13430,17827,664,2055,16131,26681,31844,8346,31503,13751,24943,23183,12708,2182,5582,18855",0.8765666289165723,0.49533702406103397,0.48035892323030904
GI,5,minimal_sufficient_found,200,4015,1003,0.12063808574277168,0.8735874515095294,0.5904029010563283,0.7820037105751392,0.4985835694050991,0.5993619142572283,10,"13430,23242,13751,17827,23077,8294,4209,1442,664,18614",0.88265774629411,0.5687446959271123,0.6193619142572283
SU,1,minimal_sufficient_found,200,4014,1004,0.02888446215139442,0.848841732979664,0.5170888122354383,0.8029708222811671,0.3958333333333333,0.3511155378486056,17,"2995,24760,17861,9671,23464,13827,4854,9537,29244,7382,30280,21178,22686,27478,26637,4512,27722",0.9692307692307692,0.4935880598766185,0.4111155378486056
SU,2,minimal_sufficient_found,200,4014,1004,0.029880478087649404,0.935763175906913,0.4534921490818479,0.834839151266256,0.38596491228070173,0.3301195219123506,9,"2699,15539,5663,7389,26485,27722,14993,4512,7916",0.9363449691991786,0.4330607154374877,0.39011952191235055
SU,3,minimal_sufficient_found,200,4014,1004,0.029880478087649404,0.8496919917864476,0.3596600512017742,0.7779260780287474,0.3956043956043956,0.3101195219123506,4,"2995,21178,23973,2699",0.9161875427789186,0.3479016054456258,0.3101195219123506
SU,4,minimal_sufficient_found,200,4015,1003,0.028913260219341975,0.8007151455073285,0.35862505638345865,0.7288465623451108,0.29411764705882354,0.25108673978065804,3,"16736,30172,12340",0.9045882602846421,0.34287612308547954,0.25108673978065804
SU,5,minimal_sufficient_found,200,4015,1003,0.028913260219341975,0.8539262196417192,0.34735798692628816,0.7725695673723713,0.3953488372093023,0.291086739780658,2,"19359,24760",0.9257948028039369,0.3478825619902333,0.291086739780658
AF,1,minimal_sufficient_found,200,4014,1004,0.052788844621513946,0.9002440330932683,0.540771833791734,0.8358530246215503,0.5098039215686274,0.5272111553784861,9,"23464,13430,7143,21144,28514,18492,6286,32482,28724",0.96079598436601,0.6148605847683698,0.5072111553784862
AF,2,minimal_sufficient_found,200,4014,1004,0.052788844621513946,0.9300835267741999,0.706753343588097,0.8777949725214769,0.5771812080536913,0.6472111553784861,9,"23464,13430,7143,15311,4304,18971,21144,24167,28724",0.9741880443624388,0.6811982791050211,0.6272111553784862
AF,3,minimal_sufficient_found,200,4014,1004,0.052788844621513946,0.8502470091066008,0.533785086928174,0.757752514731266,0.41333333333333333,0.46721115537848606,5,"23464,13430,9436,17793,1017",0.9032597266035752,0.532836546665915,0.46721115537848606
AF,4,minimal_sufficient_found,200,4015,1003,0.05284147557328016,0.9295134061569017,0.5343385220402981,0.868291956305859,0.5149700598802395,0.5671585244267199,6,"23464,4737,19111,24167,13430,11511",0.963674280039722,0.6348479316130871,0.5871585244267199
AF,5,minimal_sufficient_found,200,4015,1003,0.05284147557328016,0.8309433962264151,0.5187773833310835,0.7750446871896723,0.47058823529411764,0.48715852442671986,3,"23464,15160,6676",0.8697715988083417,0.49964438924080123,0.46715852442671985
