label,latent_idx,final_selected,selection_count,selection_frequency,mean_selected_step,candidate_order,candidate_source,edge_type,stable_edge,positive_support,negative_boundary,association_rank,directional_auc,abs_cohens_d,formal_edge_weight
RES,21859,False,0,0.0,,100,filtered_top200,filtered_topk,False,False,False,100,0.5389113,0.27541113,0.0
RES,27508,False,1,0.2,16.0,101,filtered_top200,filtered_topk,False,False,False,101,0.5536995,0.2748028,0.0
RES,9993,False,0,0.0,,102,filtered_top200,filtered_topk,False,False,False,102,0.5817605,0.27392828,0.0
RES,14875,False,0,0.0,,103,filtered_top200,filtered_topk,False,False,False,103,0.556457,0.2728592,0.0
RES,26391,False,0,0.0,,104,filtered_top200,filtered_topk,False,False,False,104,0.5490644,0.27257702,0.0
RES,3848,False,0,0.0,,105,filtered_top200,filtered_topk,False,False,False,105,0.5724792,0.27230307,0.0
RES,9069,False,0,0.0,,106,filtered_top200,filtered_topk,False,False,False,106,0.5489307,0.2721069,0.0
RES,7857,False,0,0.0,,107,filtered_top200,filtered_topk,False,False,False,107,0.5604733,0.27178144,0.0
RES,22970,False,0,0.0,,108,filtered_top200,filtered_topk,False,False,False,108,0.55868894,0.27164468,0.0
RES,7472,False,0,0.0,,109,filtered_top200,filtered_topk,False,False,False,109,0.50505894,0.271002,0.0
RES,12593,False,0,0.0,,110,filtered_top200,filtered_topk,False,False,False,110,0.55957955,0.26994884,0.0
RES,5413,False,0,0.0,,111,filtered_top200,filtered_topk,False,False,False,111,0.57859385,0.26787877,0.0
RES,26673,False,0,0.0,,112,filtered_top200,filtered_topk,False,False,False,112,0.5402514,0.26745567,0.0
RES,18646,False,0,0.0,,113,filtered_top200,filtered_topk,False,False,False,113,0.5548818,0.26720467,0.0
RES,983,False,1,0.2,4.0,114,filtered_top200,filtered_topk,False,False,False,114,0.55788267,0.26698807,0.0
RES,31206,False,0,0.0,,115,filtered_top200,filtered_topk,False,False,False,115,0.5368838,0.26655757,0.0
RES,15437,False,0,0.0,,116,filtered_top200,filtered_topk,False,False,False,116,0.5630192,0.26612145,0.0
RES,22358,False,0,0.0,,117,filtered_top200,filtered_topk,False,False,False,117,0.5347863,0.26596105,0.0
RES,18990,False,0,0.0,,118,filtered_top200,filtered_topk,False,False,False,118,0.5454824,0.2653299,0.0
RES,31246,False,1,0.2,20.0,119,filtered_top200,filtered_topk,False,False,False,119,0.5378096,0.26413718,0.0
RES,6835,False,0,0.0,,120,filtered_top200,filtered_topk,False,False,False,120,0.5356351,0.2634256,0.0
RES,14247,False,0,0.0,,121,filtered_top200,filtered_topk,False,False,False,121,0.54443824,0.26326117,0.0
RES,677,False,0,0.0,,122,filtered_top200,filtered_topk,False,False,False,122,0.51071364,0.26320446,0.0
RES,31116,False,0,0.0,,123,filtered_top200,filtered_topk,False,False,False,123,0.53833354,0.26254275,0.0
RES,11339,False,1,0.2,14.0,124,filtered_top200,filtered_topk,False,False,False,124,0.5318713,0.26120767,0.0
RES,3673,False,0,0.0,,125,filtered_top200,filtered_topk,False,False,False,125,0.5690176,0.26114658,0.0
RES,5332,False,0,0.0,,126,filtered_top200,filtered_topk,False,False,False,126,0.5475637,0.26109782,0.0
RES,26511,False,1,0.2,18.0,127,filtered_top200,filtered_topk,False,False,False,127,0.54130757,0.26079085,0.0
RES,16045,False,0,0.0,,128,filtered_top200,filtered_topk,False,False,False,128,0.5586057,0.25865045,0.0
RES,26578,False,0,0.0,,129,filtered_top200,filtered_topk,False,False,False,129,0.5062666,0.2585776,0.0
RES,21183,False,0,0.0,,130,filtered_top200,filtered_topk,False,False,False,130,0.51278,0.25813383,0.0
RES,2995,False,0,0.0,,131,filtered_top200,filtered_topk,False,False,False,131,0.5716479,0.25763646,0.0
RES,28931,False,1,0.2,17.0,132,filtered_top200,filtered_topk,False,False,False,132,0.54463124,0.25707644,0.0
RES,7851,False,0,0.0,,133,filtered_top200,filtered_topk,False,False,False,133,0.53824186,0.25651085,0.0
RES,19179,False,2,0.4,15.0,134,filtered_top200,filtered_topk,False,False,False,134,0.51985055,0.2558622,0.0
RES,15557,False,0,0.0,,135,filtered_top200,filtered_topk,False,False,False,135,0.51153606,0.2557438,0.0
RES,23077,False,0,0.0,,136,filtered_top200,filtered_topk,False,False,False,136,0.56266403,0.25547388,0.0
RES,9827,False,0,0.0,,137,filtered_top200,filtered_topk,False,False,False,137,0.53917086,0.2554582,0.0
RES,5042,False,1,0.2,20.0,138,filtered_top200,filtered_topk,False,False,False,138,0.5563264,0.25516662,0.0
RES,29091,False,0,0.0,,139,filtered_top200,filtered_topk,False,False,False,139,0.5409691,0.25511184,0.0
RES,32508,False,0,0.0,,140,filtered_top200,filtered_topk,False,False,False,140,0.5361692,0.25478494,0.0
RES,22547,False,0,0.0,,141,filtered_top200,filtered_topk,False,False,False,141,0.55368984,0.25451377,0.0
RES,14014,False,0,0.0,,142,filtered_top200,filtered_topk,False,False,False,142,0.542299,0.25437993,0.0
RES,10922,False,0,0.0,,143,filtered_top200,filtered_topk,False,False,False,143,0.50503886,0.25326365,0.0
RES,17609,False,0,0.0,,144,filtered_top200,filtered_topk,False,False,False,144,0.5107188,0.2531229,0.0
RES,9537,False,0,0.0,,145,filtered_top200,filtered_topk,False,False,False,145,0.544748,0.2530606,0.0
RES,93,False,0,0.0,,146,filtered_top200,filtered_topk,False,False,False,146,0.52601975,0.25304323,0.0
RES,26263,False,1,0.2,3.0,147,filtered_top200,filtered_topk,False,False,False,147,0.555781,0.25295544,0.0
RES,32486,False,0,0.0,,148,filtered_top200,filtered_topk,False,False,False,148,0.53703105,0.2528652,0.0
RES,16252,False,0,0.0,,149,filtered_top200,filtered_topk,False,False,False,149,0.54865336,0.25255957,0.0
RES,8089,False,2,0.4,15.0,150,filtered_top200,filtered_topk,False,False,False,150,0.53421247,0.2525243,0.0
RES,3421,False,0,0.0,,151,filtered_top200,filtered_topk,False,False,False,151,0.5358686,0.25205916,0.0
RES,4915,False,0,0.0,,152,filtered_top200,filtered_topk,False,False,False,152,0.5337466,0.25185925,0.0
RES,7934,False,0,0.0,,153,filtered_top200,filtered_topk,False,False,False,153,0.56980586,0.25170556,0.0
RES,17247,False,0,0.0,,154,filtered_top200,filtered_topk,False,False,False,154,0.53494275,0.25156495,0.0
RES,1913,False,0,0.0,,155,filtered_top200,filtered_topk,False,False,False,155,0.55015117,0.25146484,0.0
RES,28035,False,1,0.2,15.0,156,filtered_top200,filtered_topk,False,False,False,156,0.54083353,0.25024483,0.0
RES,19403,False,0,0.0,,157,filtered_top200,filtered_topk,False,False,False,157,0.5345465,0.24964032,0.0
RES,5628,False,0,0.0,,158,filtered_top200,filtered_topk,False,False,False,158,0.54234964,0.24943908,0.0
RES,15998,False,0,0.0,,159,filtered_top200,filtered_topk,False,False,False,159,0.514643,0.2493886,0.0
RES,19427,False,0,0.0,,160,filtered_top200,filtered_topk,False,False,False,160,0.55090046,0.24934568,0.0
RES,18659,False,0,0.0,,161,filtered_top200,filtered_topk,False,False,False,161,0.55058104,0.24811706,0.0
RES,5032,False,1,0.2,5.0,162,filtered_top200,filtered_topk,False,False,False,162,0.553268,0.24777974,0.0
RES,26634,False,0,0.0,,163,filtered_top200,filtered_topk,False,False,False,163,0.55282533,0.24777275,0.0
RES,30208,False,0,0.0,,164,filtered_top200,filtered_topk,False,False,False,164,0.5353089,0.2473777,0.0
RES,14833,False,0,0.0,,165,filtered_top200,filtered_topk,False,False,False,165,0.5354928,0.24714728,0.0
RES,7374,False,0,0.0,,166,filtered_top200,filtered_topk,False,False,False,166,0.54562736,0.24713229,0.0
RES,21803,False,1,0.2,8.0,167,filtered_top200,filtered_topk,False,False,False,167,0.50822043,0.24682593,0.0
RES,1107,False,1,0.2,13.0,168,filtered_top200,filtered_topk,False,False,False,168,0.5421901,0.24594781,0.0
RES,11776,False,0,0.0,,169,filtered_top200,filtered_topk,False,False,False,169,0.5111675,0.24586281,0.0
RES,16735,False,0,0.0,,170,filtered_top200,filtered_topk,False,False,False,170,0.53312784,0.24518219,0.0
RES,21610,False,0,0.0,,171,filtered_top200,filtered_topk,False,False,False,171,0.5655471,0.24505652,0.0
RES,19013,False,1,0.2,7.0,172,filtered_top200,filtered_topk,False,False,False,172,0.5403242,0.24469575,0.0
RES,24397,False,0,0.0,,173,filtered_top200,filtered_topk,False,False,False,173,0.5369961,0.2442278,0.0
RES,24665,False,0,0.0,,174,filtered_top200,filtered_topk,False,False,False,174,0.50875115,0.24357294,0.0
RES,3293,False,0,0.0,,175,filtered_top200,filtered_topk,False,False,False,175,0.5532218,0.24263632,0.0
RES,22036,False,1,0.2,12.0,176,filtered_top200,filtered_topk,False,False,False,176,0.5111814,0.24246359,0.0
RES,11733,False,0,0.0,,177,filtered_top200,filtered_topk,False,False,False,177,0.5344003,0.24230558,0.0
RES,20632,False,0,0.0,,178,filtered_top200,filtered_topk,False,False,False,178,0.50962245,0.24213673,0.0
RES,23672,False,0,0.0,,179,filtered_top200,filtered_topk,False,False,False,179,0.56034005,0.24200955,0.0
RES,28066,False,1,0.2,15.0,180,filtered_top200,filtered_topk,False,False,False,180,0.5325556,0.24197794,0.0
RES,27211,False,0,0.0,,181,filtered_top200,filtered_topk,False,False,False,181,0.5344274,0.24190585,0.0
RES,25210,False,0,0.0,,182,filtered_top200,filtered_topk,False,False,False,182,0.5364711,0.24136965,0.0
RES,252,False,1,0.2,6.0,183,filtered_top200,filtered_topk,False,False,False,183,0.5392281,0.2409067,0.0
RES,3887,False,0,0.0,,184,filtered_top200,filtered_topk,False,False,False,184,0.5336565,0.240638,0.0
RES,28215,False,1,0.2,19.0,185,filtered_top200,filtered_topk,False,False,False,185,0.5335264,0.24041772,0.0
RES,11896,False,0,0.0,,186,filtered_top200,filtered_topk,False,False,False,186,0.56915474,0.24017903,0.0
