label,latent_idx,full_selected_auc,loo_auc,delta_auc,full_selected_average_precision,loo_average_precision,delta_average_precision,redundancy_role
GI,16131,0.854382278541786,0.849044431174739,0.005337847367047011,0.47450464740615306,0.4573162004455402,0.017188446960612835,essential
SU,2995,0.840550139168786,0.7946684319385731,0.0458817072302129,0.23085136383738186,0.1912894721573908,0.03956189167999105,essential
SU,24760,0.840550139168786,0.8329108691310645,0.007639270037721468,0.23085136383738186,0.1601302120720448,0.07072115176533705,essential
SU,2699,0.840550139168786,0.807906574660248,0.032643564508538,0.23085136383738186,0.17808782947416749,0.052763534363214376,essential
SU,21178,0.840550139168786,0.8103659447765967,0.030184194392189223,0.23085136383738186,0.20751455484754702,0.02333680898983484,essential
AF,23464,0.9223370344052813,0.9132774136692218,0.009059620736059482,0.5580331783281334,0.5144799510978679,0.043553227230265446,essential
AF,13430,0.9223370344052813,0.9066734415999428,0.015663592805338467,0.5580331783281334,0.5413920207794222,0.016641157548711205,essential
AF,7143,0.9223370344052813,0.8999019487195773,0.02243508568570396,0.5580331783281334,0.45572765224817413,0.10230552607995924,essential
AF,21144,0.9223370344052813,0.914303180910567,0.008033853494714305,0.5580331783281334,0.551072723766555,0.006960454561578344,essential
AF,24167,0.9223370344052813,0.9056055956714528,0.01673143873382843,0.5580331783281334,0.535706985670009,0.02232619265812441,essential
AF,28724,0.9223370344052813,0.9136235704163012,0.008713463988980097,0.5580331783281334,0.52294760522331,0.03508557310482341,essential
