label,latent_idx,n_positive,n_negative,prevalence,pos_mean,neg_mean,mean_diff,cohens_d,abs_cohens_d,auc,directional_auc,auc_effect,p_value,significant_fdr,precision_at_10,precision_lift_at_10,precision_at_50,precision_lift_at_50,association_rank,stable_edge,positive_support,negative_boundary,edge_type,formal_edge_weight,candidate_source,candidate_order
RES,32490,416,4602,0.082901554404145,0.06536396,0.19110747,-0.12574351,-0.34189156,0.34189156,0.42910874,0.57089126,0.14178252,8.1532392999999995e-25,True,0.0,-0.08290155,0.0,-0.08290155,35,False,False,False,filtered_topk,0.0,filtered_top200,35
RES,24744,416,4602,0.082901554404145,0.013319749,0.13558643,-0.12226668,-0.3416912,0.3416912,0.43144545,0.5685545,0.1371091,0.0,True,0.0,-0.08290155,0.0,-0.08290155,36,False,False,False,filtered_topk,0.0,filtered_top200,36
RES,12340,416,4602,0.082901554404145,0.13791598,0.4560916,-0.3181756,-0.34014603,0.34014603,0.44683984,0.5531602,0.10632032,0.0,True,0.0,-0.08290155,0.0,-0.08290155,37,False,False,False,filtered_topk,0.0,filtered_top200,37
RES,17442,416,4602,0.082901554404145,0.07215764,0.021394825,0.05076281,0.3390087,0.3390087,0.52478987,0.52478987,0.04957974,9.434134e-05,True,0.2,0.11709845,0.36,0.27709848,38,False,False,False,filtered_topk,0.0,filtered_top200,38
RES,32727,416,4602,0.082901554404145,0.16600154,0.084584065,0.08141748,0.33631402,0.33631402,0.55905616,0.55905616,0.118112326,3.7061403e-07,True,0.2,0.11709845,0.12,0.037098445,39,False,False,False,filtered_topk,0.0,filtered_top200,39
RES,12337,416,4602,0.082901554404145,0.0371798,0.18171065,-0.14453085,-0.33630985,0.33630985,0.4296,0.5704,0.1408,1.6137536e-31,True,0.0,-0.08290155,0.0,-0.08290155,40,False,False,False,filtered_topk,0.0,filtered_top200,40
RES,30498,416,4602,0.082901554404145,0.85575044,1.0829374,-0.22718692,-0.33613822,0.33613822,0.40272364,0.59727633,0.19455272,4.3267174e-12,True,0.0,-0.08290155,0.0,-0.08290155,41,False,False,False,filtered_topk,0.0,filtered_top200,41
RES,22120,416,4602,0.082901554404145,0.021212064,0.002378806,0.018833257,0.33137894,0.33137894,0.5135636,0.5135636,0.027127147,0.008867443,True,0.5,0.41709846,0.3,0.21709846,42,False,False,False,filtered_topk,0.0,filtered_top200,42
RES,19840,416,4602,0.082901554404145,0.017826961,0.10548021,-0.08765325,-0.32940176,0.32940176,0.44019663,0.55980337,0.11960673,8.835644e-35,True,0.0,-0.08290155,0.02,-0.06290156,43,False,False,False,filtered_topk,0.0,filtered_top200,43
RES,26144,416,4602,0.082901554404145,0.003577599,0.2659119,-0.26233432,-0.32910556,0.32910556,0.44325185,0.55674815,0.1134963,0.0,True,0.0,-0.08290155,0.0,-0.08290155,44,False,False,False,filtered_topk,0.0,filtered_top200,44
RES,16286,416,4602,0.082901554404145,0.012817383,0.0017073929,0.01110999,0.32882038,0.32882038,0.5122666,0.5122666,0.024533153,0.004203704,True,0.7,0.61709845,0.3,0.21709846,45,False,False,False,filtered_topk,0.0,filtered_top200,45
RES,9963,416,4602,0.082901554404145,0.045203574,0.36100516,-0.3158016,-0.32780844,0.32780844,0.44810236,0.55189764,0.10379529,1.603836e-38,True,0.0,-0.08290155,0.0,-0.08290155,46,False,False,False,filtered_topk,0.0,filtered_top200,46
RES,29701,416,4602,0.082901554404145,0.096228965,0.040546656,0.05568231,0.32571822,0.32571822,0.54679245,0.54679245,0.093584895,4.722592e-06,True,0.1,0.01709845,0.22,0.13709845,47,False,False,False,filtered_topk,0.0,filtered_top200,47
RES,2462,416,4602,0.082901554404145,0.0040283203,0.11149831,-0.10746999,-0.32556647,0.32556647,0.4432056,0.5567944,0.11358881,0.0,True,0.0,-0.08290155,0.0,-0.08290155,48,False,False,False,filtered_topk,0.0,filtered_top200,48
RES,28670,416,4602,0.082901554404145,0.032977764,0.12455225,-0.09157449,-0.32480422,0.32480422,0.43745115,0.5625489,0.12509769,1.0844577e-28,True,0.0,-0.08290155,0.0,-0.08290155,49,False,False,False,filtered_topk,0.0,filtered_top200,49
RES,31930,416,4602,0.082901554404145,1.1307561,0.7307544,0.40000176,0.3246986,0.3246986,0.5678491,0.5678491,0.1356982,2.7287083e-08,True,0.1,0.01709845,0.1,0.01709845,50,False,False,False,filtered_topk,0.0,filtered_top200,50
RES,24943,416,4602,0.082901554404145,0.0016808143,0.14705648,-0.14537565,-0.32415357,0.32415357,0.43781576,0.5621842,0.12436849,0.0,True,0.0,-0.08290155,0.0,-0.08290155,51,False,False,False,filtered_topk,0.0,filtered_top200,51
RES,7702,416,4602,0.082901554404145,0.05509127,0.16227405,-0.10718278,-0.32354146,0.32354146,0.4340243,0.56597567,0.13195139,1.2442667e-20,True,0.0,-0.08290155,0.02,-0.06290156,52,False,False,False,filtered_topk,0.0,filtered_top200,52
RES,13966,416,4602,0.082901554404145,0.24610314,0.103614084,0.14248905,0.31970447,0.31970447,0.55093575,0.55093575,0.10187149,6.6776543e-06,True,0.0,-0.08290155,0.18,0.097098455,53,False,False,False,filtered_topk,0.0,filtered_top200,53
RES,16969,416,4602,0.082901554404145,0.051663913,0.31748426,-0.26582035,-0.3154988,0.3154988,0.44618875,0.55381125,0.107622504,3.061703e-39,True,0.0,-0.08290155,0.0,-0.08290155,54,False,False,False,filtered_topk,0.0,filtered_top200,54
RES,28961,416,4602,0.082901554404145,0.032329854,0.1193541,-0.08702424,-0.31355238,0.31355238,0.43668774,0.5633123,0.12662452,4.703149e-21,True,0.0,-0.08290155,0.02,-0.06290156,55,False,False,False,filtered_topk,0.0,filtered_top200,55
RES,18310,416,4602,0.082901554404145,0.010037935,0.11117958,-0.10114165,-0.31009954,0.31009954,0.44138208,0.55861795,0.11723584,0.0,True,0.0,-0.08290155,0.02,-0.06290156,56,False,False,False,filtered_topk,0.0,filtered_top200,56
RES,2071,416,4602,0.082901554404145,0.5080801,0.7223044,-0.21422428,-0.3087646,0.3087646,0.41129848,0.5887015,0.17740303,6.870915e-10,True,0.1,0.01709845,0.04,-0.042901553,57,False,False,False,filtered_topk,0.0,filtered_top200,57
RES,29810,416,4602,0.082901554404145,0.041593112,0.104672134,-0.06307902,-0.30763286,0.30763286,0.4380597,0.5619403,0.123880625,1.6472295e-16,True,0.0,-0.08290155,0.02,-0.06290156,58,False,False,False,filtered_topk,0.0,filtered_top200,58
RES,3156,416,4602,0.082901554404145,0.07879639,0.24979883,-0.17100245,-0.30734652,0.30734652,0.43487677,0.5651232,0.13024646,1.0688493999999999e-19,True,0.0,-0.08290155,0.02,-0.06290156,59,False,False,False,filtered_topk,0.0,filtered_top200,59
RES,14602,416,4602,0.082901554404145,0.043565016,0.013278024,0.030286992,0.30695945,0.30695945,0.52428395,0.52428395,0.04856789,0.0002530364,True,0.1,0.01709845,0.3,0.21709846,60,False,False,False,filtered_topk,0.0,filtered_top200,60
RES,20028,416,4602,0.082901554404145,0.01582219,0.073915295,-0.058093105,-0.30692723,0.30692723,0.44799292,0.5520071,0.10401416,8.519954e-27,True,0.0,-0.08290155,0.0,-0.08290155,61,False,False,False,filtered_topk,0.0,filtered_top200,61
RES,7140,416,4602,0.082901554404145,0.079092175,0.024181062,0.054911114,0.3065039,0.3065039,0.5211572,0.5211572,0.04231441,0.00052881805,True,0.4,0.31709844,0.34,0.25709844,62,False,False,False,filtered_topk,0.0,filtered_top200,62
RES,19470,416,4602,0.082901554404145,0.09810228,0.320947,-0.22284472,-0.30526546,0.30526546,0.43932614,0.56067383,0.121347725,2.554097e-23,True,0.0,-0.08290155,0.0,-0.08290155,63,False,False,False,filtered_topk,0.0,filtered_top200,63
RES,16320,416,4602,0.082901554404145,0.43961746,0.25595403,0.18366343,0.30506244,0.30506244,0.5330341,0.5330341,0.06606817,1.3420016e-05,True,0.3,0.21709846,0.26,0.17709844,64,False,False,False,filtered_topk,0.0,filtered_top200,64
RES,8226,416,4602,0.082901554404145,0.5702186,0.8019208,-0.23170215,-0.30137396,0.30137396,0.4199909,0.5800091,0.1600182,1.3974807e-10,True,0.0,-0.08290155,0.04,-0.042901553,65,False,False,False,filtered_topk,0.0,filtered_top200,65
RES,1976,416,4602,0.082901554404145,0.026193472,0.097151205,-0.070957735,-0.29821813,0.29821813,0.44795847,0.55204153,0.10408306,1.4072843e-22,True,0.0,-0.08290155,0.0,-0.08290155,66,False,False,False,filtered_topk,0.0,filtered_top200,66
